Initializing GLUT...
Initializing OpenGL...
OpenGL Version: 4.6.0 - Build 27.20.100.8682
OpenGL Renderer: Intel(R) HD Graphics 630
Shading Language Version: 4.60 - Build 27.20.100.8682
Loaded 1 spline(s).
Num control points in spline 0: 13.
x: 0.913633 y: 0.119666 z: 0
x: 0.91322 y: 0.120099 z: 0
x: 0.912807 y: 0.120532 z: 0
x: 0.912394 y: 0.120967 z: 0
x: 0.911981 y: 0.121402 z: 0
x: 0.911567 y: 0.121837 z: 0
x: 0.911153 y: 0.122273 z: 0
x: 0.910738 y: 0.12271 z: 0
x: 0.910324 y: 0.123147 z: 0
x: 0.909909 y: 0.123585 z: 0
x: 0.909493 y: 0.124024 z: 0
x: 0.909077 y: 0.124463 z: 0
x: 0.908661 y: 0.124903 z: 0
x: 0.908245 y: 0.125343 z: 0
x: 0.907829 y: 0.125784 z: 0
x: 0.907412 y: 0.126226 z: 0
x: 0.906994 y: 0.126668 z: 0
x: 0.906577 y: 0.127111 z: 0
x: 0.906159 y: 0.127554 z: 0
x: 0.905741 y: 0.127998 z: 0
x: 0.905323 y: 0.128443 z: 0
x: 0.904905 y: 0.128888 z: 0
x: 0.904486 y: 0.129334 z: 0
x: 0.904067 y: 0.12978 z: 0
x: 0.903648 y: 0.130228 z: 0
x: 0.903228 y: 0.130675 z: 0
x: 0.902809 y: 0.131124 z: 0
x: 0.902389 y: 0.131573 z: 0
x: 0.901969 y: 0.132022 z: 0
x: 0.901548 y: 0.132472 z: 0
x: 0.901128 y: 0.132923 z: 0
x: 0.900707 y: 0.133375 z: 0
x: 0.900286 y: 0.133827 z: 0
x: 0.899865 y: 0.13428 z: 0
x: 0.899444 y: 0.134733 z: 0
x: 0.899022 y: 0.135187 z: 0
x: 0.898601 y: 0.135642 z: 0
x: 0.898179 y: 0.136097 z: 0
x: 0.897757 y: 0.136553 z: 0
x: 0.897335 y: 0.137009 z: 0
x: 0.896912 y: 0.137466 z: 0
x: 0.89649 y: 0.137924 z: 0
x: 0.896067 y: 0.138383 z: 0
x: 0.895644 y: 0.138842 z: 0
x: 0.895221 y: 0.139302 z: 0
x: 0.894798 y: 0.139762 z: 0
x: 0.894375 y: 0.140223 z: 0
x: 0.893952 y: 0.140685 z: 0
x: 0.893529 y: 0.141147 z: 0
x: 0.893105 y: 0.14161 z: 0
x: 0.892681 y: 0.142073 z: 0
x: 0.892258 y: 0.142538 z: 0
x: 0.891834 y: 0.143003 z: 0
x: 0.89141 y: 0.143468 z: 0
x: 0.890986 y: 0.143934 z: 0
x: 0.890562 y: 0.144401 z: 0
x: 0.890138 y: 0.144869 z: 0
x: 0.889714 y: 0.145337 z: 0
x: 0.889289 y: 0.145806 z: 0
x: 0.888865 y: 0.146275 z: 0
x: 0.88844 y: 0.146745 z: 0
x: 0.888016 y: 0.147216 z: 0
x: 0.887591 y: 0.147687 z: 0
x: 0.887167 y: 0.14816 z: 0
x: 0.886742 y: 0.148632 z: 0
x: 0.886318 y: 0.149106 z: 0
x: 0.885893 y: 0.14958 z: 0
x: 0.885468 y: 0.150055 z: 0
x: 0.885044 y: 0.15053 z: 0
x: 0.884619 y: 0.151006 z: 0
x: 0.884194 y: 0.151483 z: 0
